City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
220,Sept-Iles,CA,2021-12-02 00:47:16,50.2001,-66.3821,27.12,93,90,4.61
221,Luderitz,NA,2021-12-02 00:48:53,-26.6481,15.1594,60.1,73,2,16.64
222,Bara,NG,2021-12-02 00:48:54,10.3744,10.7288,73.96,24,77,7.67
223,Grand Gaube,MU,2021-12-02 00:48:54,-20.0064,57.6608,77.4,78,2,1.01
224,Anjozorobe,MG,2021-12-02 00:48:55,-18.4,47.8667,61.12,84,100,6.11
225,Cadillac,US,2021-12-02 00:48:55,44.2519,-85.4012,40.24,87,90,8.05
226,Qaanaaq,GL,2021-12-02 00:48:56,77.484,-69.3632,4.42,74,18,6.58
227,Valreas,FR,2021-12-02 00:48:57,44.3837,4.9908,36.88,94,99,4.79
228,Saldanha,ZA,2021-12-02 00:48:57,-33.0117,17.9442,59.05,75,0,20.65
229,Valdivia,CL,2021-12-02 00:45:14,-39.8142,-73.2459,55.49,95,100,2.53
230,Fortuna,US,2021-12-02 00:49:58,40.5982,-124.1573,58.08,69,1,0.0
231,Pochutla,MX,2021-12-02 00:49:58,15.7432,-96.4661,75.02,77,99,3.27
232,Georgetown,MY,2021-12-02 00:46:13,5.4112,100.3354,78.89,87,20,1.99
233,Assiniboia,CA,2021-12-02 00:49:58,49.6334,-105.9845,42.71,48,100,12.66
234,North Bend,US,2021-12-02 00:49:59,43.4065,-124.2243,57.92,96,75,10.36
235,Pogradec,AL,2021-12-02 00:49:59,40.9025,20.6525,35.78,78,6,3.06
236,Stephenville,US,2021-12-02 00:49:59,32.2207,-98.2023,65.16,43,1,0.0
237,Kokopo,PG,2021-12-02 00:50:00,-4.352,152.2633,85.82,66,80,5.99
238,Veracruz,MX,2021-12-02 00:50:00,19.3333,-96.6667,66.06,90,100,0.45
239,Hofn,IS,2021-12-02 00:50:00,64.2539,-15.2082,26.94,75,100,5.32
240,Kingaroy,AU,2021-12-02 00:50:01,-26.5333,151.8333,75.24,73,90,6.91
241,Telma,RU,2021-12-02 00:50:01,52.6983,103.7097,27.61,93,99,3.27
242,Nara,JP,2021-12-02 00:50:02,34.6851,135.8049,48.96,42,7,6.08
243,Uyemskiy,RU,2021-12-02 00:50:03,64.4743,40.8524,14.05,92,90,2.24
244,Henderson,US,2021-12-02 00:48:48,36.0397,-114.9819,74.32,13,1,0.0
245,Bethel,US,2021-12-02 00:50:00,41.3712,-73.414,40.82,73,20,0.0
246,Jeremoabo,BR,2021-12-02 00:50:04,-10.075,-38.4808,75.63,75,78,8.72
247,Vao,NC,2021-12-02 00:50:05,-22.6667,167.4833,76.69,78,58,17.69
248,Cap Malheureux,MU,2021-12-02 00:50:05,-19.9842,57.6142,77.49,78,1,1.99
249,Kirovskiy,RU,2021-12-02 00:50:06,45.0917,133.5136,13.51,83,87,7.25
250,Port-Cartier,CA,2021-12-02 00:50:06,50.0334,-66.8654,26.82,93,100,6.31
251,Moron,AR,2021-12-02 00:50:05,-34.6534,-58.6198,67.98,74,0,5.01
252,Newport,GB,2021-12-02 00:50:06,51.5877,-2.9984,39.45,80,2,1.01
253,Tuatapere,NZ,2021-12-02 00:50:07,-46.1333,167.6833,70.83,53,100,6.35
254,Lavrentiya,RU,2021-12-02 00:50:08,65.5833,-171.0,-10.62,83,0,5.66
255,Coquimbo,CL,2021-12-02 00:50:09,-29.9533,-71.3436,60.53,77,0,10.36
256,Kathu,TH,2021-12-02 00:50:09,7.9178,98.3332,78.62,86,100,24.14
257,Topolevo,RU,2021-12-02 00:50:10,48.4994,135.1975,5.18,60,17,15.99
258,Dikson,RU,2021-12-02 00:50:10,73.5069,80.5464,-6.99,96,100,15.12
259,Catamarca,AR,2021-12-02 00:50:10,-28.4696,-65.7852,84.78,42,29,5.01
260,Clinton,US,2021-12-02 00:48:50,42.587,-82.9199,41.95,91,90,1.01
261,Avera,US,2021-12-02 00:50:11,33.194,-82.5271,62.47,49,100,7.63
262,Zakamensk,RU,2021-12-02 00:50:11,50.3741,103.2863,9.41,87,100,2.82
263,Cabo San Lucas,MX,2021-12-02 00:45:56,22.8909,-109.9124,77.14,66,74,6.96
264,Boende,CD,2021-12-02 00:50:12,-0.2167,20.8667,68.77,98,100,2.37
265,Saint George,US,2021-12-02 00:49:56,37.1041,-113.5841,64.99,25,1,1.01
266,Kinablangan,PH,2021-12-02 00:50:12,7.6947,126.5503,83.98,70,78,3.91
267,Avila,ES,2021-12-02 00:50:13,40.5833,-5.0,38.64,96,100,10.47
268,Bonnyville,CA,2021-12-02 00:50:13,54.2668,-110.735,33.12,93,84,1.25
269,Sainte-Anne-Des-Monts,CA,2021-12-02 00:50:13,49.124,-66.4924,28.27,86,100,10.36
270,Pirovskoye,RU,2021-12-02 00:50:14,57.6267,92.2658,24.28,85,100,11.03
271,Kalat,PK,2021-12-02 00:50:15,29.0225,66.5916,37.38,57,0,1.39
272,Jijiga,ET,2021-12-02 00:51:15,9.35,42.8,56.1,23,100,4.25
273,Whitehorse,CA,2021-12-02 00:51:16,60.7161,-135.0538,23.77,80,90,10.36
274,Stutterheim,ZA,2021-12-02 00:51:16,-32.5708,27.424,57.29,95,51,1.95
275,Innisfail,AU,2021-12-02 00:51:16,-17.5333,146.0333,88.2,61,7,9.1
276,Apatou,GF,2021-12-02 00:51:17,5.155,-54.3472,74.12,100,100,2.15
277,Chokurdakh,RU,2021-12-02 00:51:17,70.6333,147.9167,-32.98,100,99,7.23
278,Kodiak,US,2021-12-02 00:51:17,57.79,-152.4072,15.31,73,90,21.85
279,Kuminskiy,RU,2021-12-02 00:51:17,58.6667,66.5667,35.42,81,100,13.35
280,Bira,RU,2021-12-02 00:51:18,49.0,132.4667,7.03,68,100,2.51
281,Broome,US,2021-12-02 00:51:18,42.2506,-75.833,37.02,80,75,1.99
282,Liepaja,LV,2021-12-02 00:51:18,56.5419,21.0367,32.05,93,90,14.97
283,Bardiyah,LY,2021-12-02 00:51:19,31.7561,25.0865,59.81,64,91,10.2
284,San Cristobal,VE,2021-12-02 00:51:19,7.7669,-72.225,71.78,94,47,2.17
285,Milkovo,RU,2021-12-02 00:51:19,54.7167,158.6167,18.81,95,100,5.12
286,Hailey,US,2021-12-02 00:51:20,43.5196,-114.3153,40.89,69,54,3.0
287,Tevaitoa,PF,2021-12-02 00:51:20,-16.7833,-151.5,79.77,77,100,16.2
288,Storsteinnes,NO,2021-12-02 00:51:20,69.2408,19.2344,32.0,88,100,6.35
289,Sainte-Maxime,FR,2021-12-02 00:51:20,43.3,6.6333,52.0,69,100,10.98
290,Uruzgan,AF,2021-12-02 00:51:21,32.8333,66.0,40.24,42,0,5.46
291,Shirgaon,IN,2021-12-02 00:51:22,19.7,72.7,67.23,86,100,27.36
292,Kommunisticheskiy,RU,2021-12-02 00:51:22,61.6789,64.4819,32.59,98,100,10.0
293,Kahului,US,2021-12-02 00:51:23,20.8947,-156.47,85.26,72,20,18.41
